species,female_id,nest_id,Day.Obs.Started,Day.Obs.Ended,Days.Observed,nest_height_m,picture,nest_diameter_cm,nest_weight,cup_diameter_cm,cup_diameter_cm.1,lining_weight,lining_material,grasses_weight,twigs_weight,bark_leaves_weight,other_weight,other_material_notes,insects_present,female_id.1,nest_fate,failure_cause,attempt_number,territory,grid,plot,veg_code,veg_data,nest_description,clutch_date,hatch_date,fledge_fail_date
OCWA,YA/BUW,05-086,4/24/2005,6/5/2005,42,0,Y,10.7,14.03,4,n/a,6.77,Grass,8.41,1.53,1.52,2.57,"roots, lichen, dust",no,YA/BUW,Fledged ,,2,,E3,BRC1,,,on creek wall 3m form old nest,,5/3/2005,
OCWA,YA/GG,05-027,3/20/2005,5/8/2005,49,3.5,Y,10.9,25.25,4,2.2,5.94,Grass,8.13,5.06,9.58,2.48,"lichen, large beetle and possible parasites","yes, possible parasites",YA/GG,Fledged,,NA,,WW.5-4,BRC1,QUPA,QUPA,,3/27/2005,4/8/2005,
OCWA,YA/OY,05-070,NA,NA,NA,1,Y,11.5,20.82,n/a,n/a,7.36,Grass,12.9,3,2.54,2.38,"lichen, roots, misc plant parts",no,YA/OY,Fledged,,1,,B1.5,BRC2,BAPI,BAPI,overhanging stream bank,,4/14/2005,
OCWA,YA/OY,05-125,5/26/2005,6/23/2005,28,2.5,Y,11.5,14.48,n/a,n/a,4.16,Bark,6.48,0.41,6.58,1.01,"Lichen, roots and vines, ",,YA/OY,Fledged,,2,,B1.5,BRC2,BAPI,BAPI,very exposed in creek,,,
OCWA,YA/WO,05-131,6/6/2005,6/11/2005,5,2.2,Y,10.7,22.55,4.2,n/a,7.23,Grass,8.14,8,5.93,0.48,Misc. plant parts,No,YA/WO,Failed,Predated,3,,H.5-3,BRC1,QUPA,QUPA,,,,
OCWA,YBU/AO,06-404,NA,NA,NA,0,Y,,NA,,,,,NA,NA,NA,NA,,,YBU/AO,Fledged,,NA,Maceo,A24,AP,,,,6/5/2006,6/17/2006,6/26/2006
OCWA,YG/PA,07-305,3/13/2007,4/9/2007,27,0,Y,11.1,10.22,3.2,n/a,4.7,Grass,7.94,0.02,2.14,0.12,seed pods,no,YG/PA,Failed,Predated,1,Nelson,P8,CPC,,grass,,,4/3/2007,4/9/2007
OCWA,YG/PA,07-330,4/28/2007,5/6/2007,8,0,Y,8.1,5.44,n/a,n/a,2.16,Grass,4.86,0.1,0.47,0.01,"hair, seeds",no,YG/PA,Failed,Predation,2,Nelson,P7,CPC,,grass,under mtn mahogony,,4/29/2007,5/6/2007
OCWA,YR/WA,06-410,NA,NA,NA,0,Y,,NA,,,,,NA,NA,NA,NA,,,YR/WA,Fledged,,NA,Coco,A16,AP,SALA,salix sp.,near top of dike on north side,,6/18/2006,6/28/2006
OCWA,YW/OA,06-418,NA,NA,NA,0,Y,,NA,,,,,NA,NA,NA,NA,,,YW/OA,Fledged,,NA,Herbie,B24,AP,,,,,6/23/2006,7/21/2006
OCWA,,04-007,3/15/2004,5/14/2004,60,2.5,Y,11,10.89,n/a,n/a,n/a,Grass,3.25,1.33,5.35,0.96,"lichen, bird droppings, rodent droppings",no,,Fledged,,NA,,WY.5-3,BRC1,RHIN,RHIN,Nest very exposed in lemonade berry,,,
OCWA,,04-010,3/18/2004,5/11/2004,54,0,Y,8.5,5.64,n/a,n/a,3.56,Grass,4.87,0.11,0.62,0.04,"insect carapace, cool inchwom dude",yes,,Fledged,,NA,,D4.5,BRC1,,maidenhair,,4/5/2004,,
OCWA,,04-011,3/19/2004,4/15/2004,27,1.5,Y,15.2,37.61,n/a,n/a,4.74,Bark,0,7.19,10.65,19.77,"mostly lichen, lots of lichen present. Seed, bird droppings, insect carapace","yes, beetle carapace",,Failed,Abandoned,NA,,B-1.5,BRC1,QUPA,QUPA,In clump of lichen on dead oak branches (close to road),3/28/2004,,
OCWA,,04-015,3/21/2004,4/2/2004,12,0,Y,n/a,9.88,n/a,n/a,4.83,Grass,9.04,0,0.43,0.41,"Hair and feathers listed as part of lining, broken eggshells and pieces of yolk",no,,Failed,Abandoned,NA,,W-X3,BRC1,,Grass,On ground @ edge of veg path,,,
OCWA,,04-016,3/21/2004,4/28/2004,38,0,Y,n/a,16.14,n/a,n/a,2.46,Grass,5.95,1.9,8.08,0.21,"moss/lichen, hair",no,,Failed,Predation,NA,,C2,BRC1,UNKN,Brush pile,Right by road in brush pile,4/10/2004,,
OCWA,,04-026,3/27/2004,4/6/2004,10,0,Y,10.7,10.09,n/a,n/a,2.04,Grass,4.58,0.14,3.8,1.57,"lichen, grass seeds",no,,Failed,Predation,NA,,WW.4,BRC1,,,,,,
OCWA,,04-028,3/31/2004,4/18/2004,18,1.5,Y,n/a,27.08,n/a,n/a,5.2,Grass,13.02,3.02,8.01,3.03,"lichen, seed pods",no,,Fledged,,NA,,H-5.5,BRC1,,Dead branches,Up the slope on dead branches,,,
OCWA,,04-029,NA,NA,NA,1,Y,,NA,,,,,NA,NA,NA,NA,,,,Fledged,,NA,,none,OFF PLOT,BAPI,Coyote brush,"visible on road, fairly exposed",,,
OCWA,,04-037,NA,NA,NA,0.2,Y,,NA,,,,,NA,NA,NA,NA,,,,Failed,Abandoned,NA,,F3.5,BRC1,,Horehound,,,,
OCWA,,04-038,4/2/2004,4/24/2004,22,1.5,Y,13.2,25.54,4.5,2.1,3.71,Grass,11.6,1.46,9.75,2.73,lichen and a feather,no,,Failed,Predation,NA,,D2,BRC1,RHIN,RHIN,in RHIN hanging down onto creek,4/6/2004,,
OCWA,,04-039,NA,NA,NA,0.3,Y,,NA,,,,,NA,NA,NA,NA,,,,Fledged,,NA,,A-51,BRC2,QUPA,QUPA,,,,
OCWA,,04-040,4/3/2004,4/23/2004,20,0,Y,n/a,11.98,n/a,n/a,2.05,Grass,4.45,0.34,7.16,0.03,lichen,no,,Failed,Predation,NA,,WY4,BRC1,,Ground,Only concealed by grass,,,
OCWA,,04-042,NA,NA,NA,0,Y,,NA,,,,,NA,NA,NA,NA,,,,Failed,Predation,NA,,of GDS,BRC2,,maidenhair,,,,
OCWA,,04-043,4/4/2004,5/20/2004,46,0,Y,10.5,13.06,3,1.9,3.51,Grass,9.24,1.49,1.98,0.35,"insects, moths and possible botflies, flowers","yes, possible parasites?",,Fledged,,NA,,E4.5,BRC1,,maidenhair,"on ground, on side of slope",,,
OCWA,,04-044,4/4/2004,4/20/2004,16,0,Y,10,13.65,n/a,n/a,3.74,Grass,6.96,2.14,2.99,1.56,"misc plant material, woodlice",yes,,Failed,,NA,,F1,BRC1,,,up hill- v. steep gully,,,
OCWA,,04-046,4/4/2004,4/23/2004,19,0,Y,12.15,24.98,3.7,2.8,2.85,Grass,3.16,3.69,17.77,0.36,"lichen, moss, seeds",no,,Failed,Predation,NA,,D1,BRC2,HEAR,HEAR,At base of small toyon,4/15/2004,,
OCWA,,04-047,NA,NA,NA,0.4,Y,,NA,,,,,NA,NA,NA,NA,,,,Fledged,,NA,,A.5-1,BRC1,RHIN,RHIN,in small rhin on north side of road,4/10/2004,4/22/2004,5/1/2004
OCWA,,04-051,4/6/2004,5/14/2004,38,3,Y,n/a,16.39,n/a,n/a,5.02,Grass,9.98,3.45,2.8,0.16,moss/lichen,no,,Failed,,NA,,WX.5-3,BRC1,QUPA,QUPA,fairly high,,,
OCWA,,04-052,NA,NA,NA,2,Y,,NA,,,,,NA,NA,NA,NA,,,,Failed,Predation,NA,,WW3,BRC1,DEUNKN,Dead brush,"in dead branches, etc.",4/10/2004,,
OCWA,,04-055,NA,NA,NA,0.3,Y, ,NA,,,,,NA,NA,NA,NA,,,,Failed,Predation,NA,,B3,BRC2,RHIN,RHIN,"Low in RHIN clump on right side of grass ""trail""",4/12/2004,,
OCWA,,04-056,4/7/2004,5/8/2004,31,0,Y,10.2,11.45,4.5,1.9,3.9,Grass,5.82,1.13,4.38,0.12,lichen,,,Fledged,,NA,,ED.5,BRC2,,Toyon,Base of toyon on small slope,,4/19/2004,
OCWA,,04-060,NA,NA,NA,1,Y,,NA,,,,,NA,NA,NA,NA,,,,Fledged,,NA,,A3.5,BRC1,UNKN,Brush pile,in brush pile at edge of veg. clump,,,
OCWA,,04-061,NA,NA,NA,1,Y,,NA,,,,,NA,NA,NA,NA,,,,Fledged,,NA,,E6.5,BRC1,,Quereus,in a bunch of dead leaves,,,
OCWA,,04-066,4/17/2004,4/23/2004,6,1.4,Y,15,45.56,3.5,2.1,12.11,Grass,14.16,8.8,14.66,7.94,lichen and moss,no,,Fledged,,NA,,A0,BRC1,ADFA,chamise,,,,
OCWA,,04-069,4/15/2004,4/30/2004,15,0,Y,n/a,11.02,n/a,n/a,2.42,Grass,7.12,0.2,3.28,0.42,"lichen, moss, feathers",no,,Failed,Predation,NA,,A3,BRC2,,maidenhair,in small maidenhair clump on slope,,,
OCWA,,04-071,4/15/2004,4/25/2004,10,0,Y,9.5,6.37,3.6,1.2,2.22,Grass,4.78,0.18,1.14,0.27,"flowers, lichen, burrs, rodent droppings",no,,Failed,Predation,NA,,A4,BRC1,,maidenhair,,,,
OCWA,,04-072,NA,NA,NA,0.2,Y,,NA,,,,,NA,NA,NA,NA,,,,Failed,Predation,2,,A3,BRC1,,grass,,,,
OCWA,,04-073,4/16/2004,5/3/2004,17,4,Y,n/a,46.57,n/a,n/a,5.75,Grass,9.8,8.9,8.56,19.31,"moss/lichen, oak seeds/flowers",no,,Failed,Predation,NA,,A.5-2,BRC1,,oak,canopy clump- obvious,,,
OCWA,,04-076,NA,NA,NA,1,Y,,NA,,,,,NA,NA,NA,NA,,,,Failed,Predation,NA,,A2-5,BRC2,RHIN,RHIN,,,,
OCWA,,04-077,NA,NA,NA,0,Y,,NA,,,,,NA,NA,NA,NA,,,,Fledged,,NA,,A3,BRC2,,maidenhair,nest at base of QUPA clump in maidenhair clump,,,
OCWA,,04-096,5/5/2004,5/16/2004,11,3,Y,12,17.27,3.2,2.1,5.42,Bark,3.61,0.3,6.3,7.06,"lichen, large fuzzy caterpillar, possible parasites, rodent droppings","yes, possible parasites?",,Fledged,,2,,WW4,BRC1,QUPA,QUPA,out of reach,,,
OCWA,,04-098,NA,NA,NA,0.5,Y,,NA,,,,,NA,NA,NA,NA,,,,Failed,Abandoned,NA,,WX-3,BRC1,QUPA,QUPA,,,,
OCWA,,05-002,NA,NA,NA,2,Y,,NA,,,,,NA,NA,NA,NA,,,,Fledged,,NA,,WX/5-4,BRC1,RHUS,RHUS,310 degrees and 3m into shrub,,3/28/2005,
OCWA,,05-004,NA,NA,NA,2,Y,,NA,,,,,NA,NA,NA,NA,,,,Failed,Predation,1,,A3.5,BRC1,,,in oak next to dead leaf pile,,3/12/2005,3/25/2005
OCWA,,05-007,NA,NA,NA,1,Y,,NA,,,,,NA,NA,NA,NA,,,,Fledged,,NA,,D3.5,BRC1,,Coyote bush,very close to old nest 04,3/16/2005,3/27/2005,
OCWA,,05-030,NA,NA,NA,2,Y,,NA,,,,,NA,NA,NA,NA,,,,Fledged,,NA,,H.5-6,BRC1,QUPA,QUPA,towards crick from flag,,,
OCWA,,05-031,NA,NA,NA,0,Y,,NA,,,,,NA,NA,NA,NA,,,,Fledged,,NA,,E1,BRC2,,grass,~5m away from old nest,3/23/2005,,
OCWA,,05-038,NA,NA,NA,2,Y,,NA,,,,,NA,NA,NA,NA,,,,Failed,Predation,1,,J4,BRC1,,OAK,,,3/29/2005,
OCWA,,05-039,NA,NA,NA,0,Y,,NA,,,,,NA,NA,NA,NA,,,,Fledged,,NA,,I.5-6,BRC1,,grass,,,,
OCWA,,05-046,NA,NA,NA,0,Y,,NA,,,,,NA,NA,NA,NA,,,,Fledged,,NA,,D3,BRC2,,maidenhair,in maidenhair at base of clummis,,,
OCWA,,05-047,NA,NA,NA,0,Y,,NA,,,,,NA,NA,NA,NA,,,,Fledged,,NA,,G6,BRC1,,,on side of deer trail,,3/30/2005,
OCWA,,05-064,NA,NA,NA,0,Y,,NA,,,,,NA,NA,NA,NA,,,,Fledged,,NA,,G.5-4,BRC1,RHIN,RHIN,on bank 7m up,,,
OCWA,,05-077,NA,NA,NA,0,Y,,NA,,,,,NA,NA,NA,NA,,,,Fledged,,NA,,H3,BRC1,,Toyon,,,4/28/2005,
OCWA,,05-083,4/19/2005,5/7/2005,18,1.6,Y,12.7,38.59,3.3,1.1,2.54,Grass,2.82,19.43,4.46,11.88,Lichen,No,,Failed,,NA,,H4,BRC1,RHIN,RHIN,,,,
OCWA,,05-098,NA,NA,NA,0.5,Y,,NA,,,,,NA,NA,NA,NA,,,,Fledged,,NA,,WX3,BRC1,DEQUPA,dead qupa,in dead QUPA branch ~2m deep into clump,,,
OCWA,,05-102,NA,NA,NA,0.5,Y,,NA,,,,,NA,NA,NA,NA,,,,Failed,,1,,A3.5,BRC1,TODI,TODI,in low todi grass clump east of large oak clump,,,
OCWA,,05-103,NA,NA,NA,0.4,Y,,NA,,,,,NA,NA,NA,NA,,,,Failed,,NA,,A-.5,BRC2,RHIN,RHIN,in RHIN just west of trail to cross creek,,,
OCWA,,05-108,5/13/2005,5/17/2005,4,1.5,Y,15.2,44.84,3.2,3,5.12,Grass,5.36,17.74,8.9,12.84,Lichen,No,,Failed,Predated or Abandoned,2,,WX.5-4,BRC1,RHIN,RHIN,~2m from first nest-- neast can be seen from flag,,,
OCWA,,05-111,NA,NA,NA,0,Y,,NA,,,,,NA,NA,NA,NA,,,,Failed,Predation,NA,,C.5-5,BRC1,,,,,,
OCWA,,05-116,NA,NA,NA,0.5,Y,,NA,,,,,NA,NA,NA,NA,,,,Failed,,2,,,BRC2,TODI,TODI,on left side of tiny path,,,
OCWA,,05-119,5/22/2005,6/12/2005,21,2,Y,11.2,17.63,3.5,2.2,6.58,Grass,9.44,0.08,7.09,1.02,"Roots/vines, seed pod",No,,Fledged,,2,,E.5-4,BRC1,BAPL,Baccharus,in gulley,,,
OCWA,,05-121,5/24/2005,6/2/2005,9,4,Y,11,15.57,3.6,1.9,4.41,Grass,5.53,3.56,3.34,3.14,"Large caterpillar, lichen, rodent droppings ",Yes,,Failed,Predation,NA,,C1.5,BRC1,QUPA,QUPA,quite high,,,
OCWA,,05-129,NA,NA,NA,0.5,Y,,NA,,,,,NA,NA,NA,NA,,,,Fledged,,NA,,C3,BRC2,GAAN,GAAN,,,,
OCWA,,05-307,NA,NA,NA,0.1,Y,,NA,,,,,NA,NA,NA,NA,,,,Failed,,NA,,,SC1,FOVU,fennel,,,,4/2/2005
OCWA,,05-308,NA,NA,NA,0.75,Y,,NA,,,,,NA,NA,NA,NA,,,,Failed,Predation,NA,,,SC1,ARDO,artemisia,,,,
OCWA,,05-309,NA,NA,NA,1,Y, ,NA,,,,,NA,NA,NA,NA,,,,Fledged,,NA,,,,ARDO,artemisia,,,,
OCWA,,05-310,NA,NA,NA,0.25,Y,,NA,,,,,NA,NA,NA,NA,,,,Failed,Predation,NA,,,,FOVU,fennel,,3/28/2005,4/9/2005,4/11/2005
OCWA,,05-313,NA,NA,NA,0.25,Y,,NA,,,,,NA,NA,NA,NA,,,,Failed,Predation,NA,,Islay 0,SC1,ERGR,Eriogonum grande,in mulefat by river,,,
OCWA,,05-314,NA,NA,NA,0,Y,,NA,,,,,NA,NA,NA,NA,,,,Failed,Predation,NA,,Islay 15,SC1,,grass,in bank on river,,,
OCWA,,05-315,NA,NA,NA,0,Y,,NA,,,,,NA,NA,NA,NA,,,,Fledged,,NA,,,SC1,,,"ground nest, small canyon n. facing slope",,,4/11/2005
OCWA,,05-317,NA,NA,NA,0,Y,,NA,,,,,NA,NA,NA,NA,,,,Failed,Predation,NA,,Islay 7.0,SC1,,cenco?,,,,
OCWA,,05-318,NA,NA,NA,0,Y,,NA,,,,,NA,NA,NA,NA,,,,Failed,Predation,NA,,,SC1,,maidenhair,"on ground, large canyon out back",,,4/11/2005
OCWA,,05-321,NA,NA,NA,0.25,Y,,NA,,,,,NA,NA,NA,NA,,,,Failed,,NA,,Islay 0,SC1,,,,,,
OCWA,,05-325,NA,NA,NA,0.25,Y,,NA,,,,,NA,NA,NA,NA,,,,Failed?,,NA,,Islay 0,SC1,,grass,,,,
OCWA,,06-401,NA,NA,NA,0,Y,,NA,,,,,NA,NA,NA,NA,,,,Fledged,,NA,Popeye,,AP,,,,6/1/2006,6/13/2006,6/22/2006
OCWA,,06-405,NA,NA,NA,0,Y,,NA,,,,,NA,NA,NA,NA,,,,Fledged,,NA,Sorbet,C6,AP,,alder,clm off road on waterside,6/7/2006,6/9/2006,6/28/2006
OCWA,,06-409,NA,NA,NA,0,Y,,NA,,,,,NA,NA,NA,NA,,,,Fledged,,NA,Miles,A20,AP,SALA,salix sp.,at base of dike on south side,,6/15/2006,6/25/2006
OCWA,,06-411,NA,NA,NA,0,Y,,NA,,,,,NA,NA,NA,NA,,,,Failed,Predation,NA,Sorbet,C7,AP,SALA,salix sp.,in small clump by pond ~5m from road,,6/17/2006,6/22/2006
OCWA,,06-413,NA,NA,NA,0,Y,,NA,,,,,NA,NA,NA,NA,,,,Fledged,,NA,Spike,C25,AP,,,along road in shrubs,,6/18/2006,6/27/2006
OCWA,,06-414,NA,NA,NA,0,Y,,NA,,,,,NA,NA,NA,NA,,,,Failed,Predation,NA,Ben,Z12,AP,,,on bottom of dike,,6/13/2006,6/21/2006
OCWA,,06-420,NA,NA,NA,0,Y,,NA,,,,,NA,NA,NA,NA,,,,Fledged,,NA,Nat,A38,AP,,,,,,6/23/2006
OCWA,,07-302,NA,NA,NA,0,Y,,NA,,,,,NA,NA,NA,NA,,,,Failed,Predated,NA,,C4,CPC,,buckwheat,at base of buckwheat,,,4/2/2007
OCWA,,07-308,NA,NA,NA,0,Y,,NA,,,,,NA,NA,NA,NA,,,,Fledged,,NA,Ralph,C1,CPC,,,,,4/11/2007,4/21/2007
OCWA,,07-312,NA,NA,NA,0,Y,,NA,,,,,NA,NA,NA,NA,,,,Failed,Predation,NA,,10.O,CPC,,,,,,4/13/2007
OCWA,,07-313,NA,NA,NA,0,Y,,NA,,,,,NA,NA,NA,NA,,,,Failed,Predation,NA,,P5,CPC,,bunchgrass,,,4/17/2007,4/22/2007
OCWA,,07-315,4/10/2007,5/4/2007,24,0,Y,8.2,7.78,n/a,n/a,4.48,Grass,6.02,0.08,0.91,0.77,roots,no,,Failed,Predation?,NA,Milhouse,13.5/13,CPC,,,on riverbank under tree,4/19/2007,5/1/2007,5/4/2007
OCWA,,07-316,NA,NA,NA,0.2,Y,,NA,,,,,NA,NA,NA,NA,,,,Failed,Predation,NA,,4.5,CPC,,,,4/14/2007,,4/16/2007
OCWA,,07-318,NA,NA,NA,0,Y,,NA,,,,,NA,NA,NA,NA,,,,Failed,Predated,NA,Sideshow Bob,3.5,CPC,,,,,4/12/2007,4/22/2007
OCWA,,07-319,4/17/2007,5/9/2007,22,0,Y,8.4,5.67,n/a,n/a,1.03,Grass,1.55,0.08,4.03,0.01,"hair, seeds",no,,Failed,Abandoned,NA,Lenny,L2,CPC,,turf grass,,,,4/22/2007
OCWA,,07-320,NA,NA,NA,0,Y,,NA,,,,,NA,NA,NA,NA,,,,Failed,Predated,NA,,L1,CPC,,,,,,4/22/2007
OCWA,,07-321,NA,NA,NA,0,Y,,NA,,,,,NA,NA,NA,NA,,,,Failed,Predated,NA,Apu,C4-0,CPC,,,,4/16/2007,4/29/2007,4/30/2007
OCWA,,07-323,NA,NA,NA,0,Y,,NA,,,,,NA,NA,NA,NA,,,,Failed,Predated,NA,Moe,L12,CPC,,grass,in clump of grass between 2 shrubs,,,4/28/2007
OCWA,,07-329,4/26/2007,5/6/2007,10,0,Y,9.2,5.95,4.1,n/a,3.06,Grass,4.36,0,1.57,0.02,flower,no,,Failed,Predated,NA,Smithers,P5,CPC,,,,5/1/2007,,5/6/2007
OCWA,,07-331,NA,NA,NA,0,Y,,NA,,,,,NA,NA,NA,NA,,,,Fledged,,NA,Barney,C5.5,CPC,,grass,,,,5/5/2007

